# Daily Data for 2016-01-01 to 2016-05-01
#
# (As of: Wed Jun 08 16:01:42 GMT-08:00 2016)
#  **Provisional data, subject to revision**
#
Date,Station Name,Station Id,Snow Water Equivalent (in),Change In Snow Water Equivalent (in),Snow Depth (in),Change In Snow Depth (in),Precipitation Accumulation (in),Precipitation Increment (in)
2016-01-01,Bear Lake,322,7.1,0.0,28,-1,9.8,0.00
2016-01-02,Bear Lake,322,7.1,0.0,28,0,9.8,0.10
2016-01-03,Bear Lake,322,7.1,0.0,27,-1,9.9,0.00
2016-01-04,Bear Lake,322,7.1,0.0,27,0,9.9,0.00
2016-01-05,Bear Lake,322,7.1,0.0,27,0,9.9,0.00
2016-01-06,Bear Lake,322,7.2,0.1,27,0,9.9,0.00
2016-01-07,Bear Lake,322,7.2,0.0,27,0,9.9,0.00
2016-01-08,Bear Lake,322,7.2,0.0,27,0,9.9,0.10
2016-01-09,Bear Lake,322,7.3,0.1,28,1,10.0,0.00
2016-01-10,Bear Lake,322,7.3,0.0,29,1,10.0,0.10
2016-01-11,Bear Lake,322,7.3,0.0,28,-1,10.1,0.00
2016-01-12,Bear Lake,322,7.4,0.1,28,0,10.1,0.00
2016-01-13,Bear Lake,322,7.4,0.0,27,-1,10.1,0.00
2016-01-14,Bear Lake,322,7.4,0.0,27,0,10.1,0.10
2016-01-15,Bear Lake,322,7.5,0.1,30,3,10.2,0.10
2016-01-16,Bear Lake,322,7.7,0.2,31,1,10.3,0.20
2016-01-17,Bear Lake,322,8.1,0.4,31,0,10.5,0.30
2016-01-18,Bear Lake,322,8.5,0.4,37,6,10.8,0.10
2016-01-19,Bear Lake,322,8.7,0.2,34,-3,10.9,0.10
2016-01-20,Bear Lake,322,8.7,0.0,35,1,11.0,0.10
2016-01-21,Bear Lake,322,8.8,0.1,36,1,11.1,0.10
2016-01-22,Bear Lake,322,8.9,0.1,35,-1,11.2,0.00
2016-01-23,Bear Lake,322,8.9,0.0,33,-2,11.2,0.00
2016-01-24,Bear Lake,322,8.9,0.0,33,0,11.2,0.10
2016-01-25,Bear Lake,322,9.1,0.2,34,1,11.3,0.00
2016-01-26,Bear Lake,322,9.2,0.1,35,1,11.3,0.00
2016-01-27,Bear Lake,322,9.2,0.0,34,-1,11.3,0.00
2016-01-28,Bear Lake,322,9.2,0.0,33,-1,11.3,0.00
2016-01-29,Bear Lake,322,9.3,0.1,32,-1,11.3,0.10
2016-01-30,Bear Lake,322,9.4,0.1,32,0,11.4,0.50
2016-01-31,Bear Lake,322,10.1,0.7,39,7,11.9,0.40
2016-02-01,Bear Lake,322,10.5,0.4,43,4,12.3,0.60
2016-02-02,Bear Lake,322,11.1,0.6,49,6,12.9,0.10
2016-02-03,Bear Lake,322,11.2,0.1,48,-1,13.0,0.10
2016-02-04,Bear Lake,322,11.4,0.2,47,-1,13.1,0.30
2016-02-05,Bear Lake,322,11.5,0.1,45,-2,13.4,0.00
2016-02-06,Bear Lake,322,11.5,0.0,44,-1,13.4,0.00
2016-02-07,Bear Lake,322,11.5,0.0,42,-2,13.4,0.00
2016-02-08,Bear Lake,322,11.4,-0.1,42,0,13.4,0.00
2016-02-09,Bear Lake,322,11.4,0.0,41,-1,13.4,0.00
2016-02-10,Bear Lake,322,11.4,0.0,40,-1,13.4,0.00
2016-02-11,Bear Lake,322,11.4,0.0,40,0,13.4,0.00
2016-02-12,Bear Lake,322,11.4,0.0,39,-1,13.4,0.00
2016-02-13,Bear Lake,322,11.4,0.0,39,0,13.4,0.00
2016-02-14,Bear Lake,322,11.4,0.0,38,-1,13.4,0.20
2016-02-15,Bear Lake,322,11.7,0.3,42,4,13.6,0.70
2016-02-16,Bear Lake,322,12.5,0.8,46,4,14.3,0.10
2016-02-17,Bear Lake,322,12.7,0.2,46,0,14.4,0.00
2016-02-18,Bear Lake,322,12.7,0.0,44,-2,14.4,0.20
2016-02-19,Bear Lake,322,12.9,0.2,46,2,14.6,0.00
2016-02-20,Bear Lake,322,12.9,0.0,45,-1,14.6,0.00
